Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,FRAP_value
9.4,9.33,5.195398941176471,58.7,9.70449411764706,17.214,4.256683176470588,1.44,27.80737313130472
10.1,6.65,3.7640224705882352,64.18,12.798611764705882,14.0244,3.847745764705882,1.52,13.32418171591403
11.39,12.369956,5.028300588235294,66.590415,7.983335294117647,12.157292,1.7722,2.995018,16.863673872443737
10.78,13.534674,3.2594788235294114,64.657734,7.983335294117645,12.588942,2.739054,3.140544,10.566451675343593
12.03,13.608959,3.9901494117647056,60.558548,7.188247058823529,14.066403,2.973386,4.803162,38.415123731999785
12.62,12.696314,3.964307647058824,66.251516,7.633211764705883,11.848728,1.677696,2.656352,26.38903504347651
10.8,11.5068,4.221641882352942,56.8204,7.202752941,12.3988,4.743886941,2.676,23.496725357597843
8.2,14.8,5.3,57.19200752941176,7.507623529411765,8.8,5.497376588235294,2.6,13.755716323324105
13.07,9.29,6.63,65.54893801960785,13.049788235294116,7.324353431372548,1.49,3.06,16.203434003295293
12.06,12.6,5.22,58.97597331372549,6.234582352941177,11.589421470588237,4.37,6.63,35.26894367972524
12.42,9.08,5.37,64.66202821568629,9.662652941,7.627073431372549,5.21,7.69,22.12829861854938
12.14,13.25,5.12,60.48420860784313,6.559458823529412,10.270205784313726,2.44,4.31,27.952957565005704
10.93,10.23,5.99,68.25952625490197,8.584164705882351,7.494661666666666,1.71,2.27,16.508660738028556
9.95,12.49,6.77,60.52599684313726,5.990047059,10.157499901960785,1.04,3.09,22.841201160056134
12.47,12.54,6.0,62.23658507843137,6.376517647058824,8.816589314,2.65,2.92,38.24847483541919
9.0,15.7,5.7,58.56947423529412,6.961523529411765,10.3,5.1262267058823525,3.1,22.78990662662401
10.13,13.18,4.197457647058823,63.6,6.278282352941176,12.477786960784314,4.23,2.34,27.64715663767819
11.51,13.48,4.2753258823529405,59.4,6.278282352941176,12.422956176470583,7.04,2.27,21.839687242689354
12.3,7.62113,2.12234,74.30125882352942,19.247411764705884,0.6928300000000001,4.473801647058824,1.20149,23.861356280597885
12.4,7.95408,2.31264,73.75307059,16.300623529411766,0.67452,4.299684,1.06872,19.209709680007183
11.2,7.29048,0.5150399999999999,73.75307059,16.511317647058824,0.3463199999999999,4.630748705882353,0.8347199999999999,18.569037652031515
11.6,7.717320000000002,0.54808,73.75307058823529,16.511317647058824,0.34476,4.473801647058824,0.74256,20.945156964451105
11.18,6.252928,2.08727,72.94409255,19.315647058823533,4.583068431372548,0.781616,1.190188,16.650812692743017
11.08,6.962436,2.054052,72.15627049019609,16.57955294117647,4.583068431372548,0.764712,1.164852,20.23374980892869
11.0,8.3,1.04,72.91269314,14.180135294117648,6.6,3.9353014117647054,0.8,24.854107144523685
11.5,8.5,0.82,71.66975196078431,13.523352941176473,6.8,3.9353014117647054,0.8,35.132770909271514
13.1,8.27288,2.15512,71.32105084313726,19.73349411764706,6.094469607843137,0.45188,1.23398,25.23910914466118
13.0,6.9339,2.262,71.70518319607844,19.32415294117647,4.799997843137255,0.3741,1.3398,23.27840248939164
13.6,6.868800000000001,1.77984,71.21987437254903,22.49792941176471,4.767640666666667,0.45792,1.09728,5.200011428161436
8.44,7.38,2.41,79.62,14.205523529411764,0.83,2.728854588235294,1.33,22.28486935910463
9.39,8.21,2.42,77.52,14.205523529411764,1.05,2.728854588235294,1.43,14.20437191257276
9.05,6.87,2.46,79.46,14.180135294117648,0.94,2.7288545882352944,1.23,12.444680128991884
7.77,6.73,2.7,80.53,14.597376470588234,1.06,2.7288545882352944,1.21,6.562765921679918
7.79,7.1,2.42,80.44,14.597376470588236,0.94,2.728854588235294,1.32,21.539004509549592
8.66,6.97,2.35,79.73,14.205523529411764,0.98,2.728854588235294,1.3,14.573290098764993
9.51,12.0,1.09,75.04,8.751341176470588,1.24,3.2466545882352937,1.11,12.292157877754875
9.62,13.48,1.06,72.61,8.404599999999999,1.87,4.6548407058823535,1.36,18.27081029849319
9.43,15.15,1.23,71.16,8.400576470588234,1.58,5.687801294117647,1.45,38.699563893074725
9.34,12.57,0.94,73.92,8.4046,1.93,3.4437134117647057,1.3,26.457287788947248
9.64,12.96,1.02,73.25,8.4046,1.86,3.884588705882353,1.27,24.778791076344145
9.12,13.03,0.94,74.29,8.400576470588234,1.15,4.197124,1.47,14.346582695898086
9.24,13.24,0.72,74.25,8.741435294117647,1.24,4.589381882352942,1.31,21.217095157260086
12.36666666666666,9.46,4.063634235294117,62.81333333333333,13.089858823529411,11.30333333333333,2.6819155294117643,1.906666666666667,19.42207032587527
40.5,16.5,9.2,24.6,39.80470588235294,12.006748098039216,6.5,2.7,36.709194552454285
72.5,6.4,2.9,13.6,15.413570588235295,5.1651058823529405,3.3,1.3,12.106966892653897
7.3,28.27,26.8,26.85,3.364705882352941,14.848423529411765,6.2,4.58,42.69057934767931
